Ref,Player,Nation,Pos,Squad,Born,Age,Matches_played,Starts,Minutes,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
1,Princess Ademiluyi,ENG,"FW,MF",West Ham,2006,18,6,0,42,0.5,0,1,1,0,0,0,0,0,0,0,0,0,2,0,8,0,2.14,2.14,0,2.14,0,0,0,0,0
2,Alyssa Aherne,ENG,MF,Everton,2004,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Olga Ahtinen,FIN,MF,Tottenham,,,11,9,788,8.8,1,2,3,1,0,0,2,0,0.3,0.3,1.1,1.4,8,60,9,0.11,0.23,0.34,0.11,0.34,0.03,0.12,0.15,0.03,0.15
4,Asmita Ale,ENG,DF,Leicester City,2001,23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,Asmita Ale,ENG,"MF,DF",Tottenham,2001,23,5,1,131,1.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,3,8,8,0,0,0,0,0,0,0.1,0.1,0,0.1
6,Laia Aleixandri,ESP,DF,Manchester City,2000,24,15,15,1278,14.2,1,3,4,1,0,0,3,1,0.5,0.3,0.7,0.9,19,95,12,0.07,0.21,0.28,0.07,0.28,0.03,0.05,0.08,0.02,0.07
7,Filippa Angeldahl,SWE,MF,Manchester City,1997,27,11,8,624,6.9,0,0,0,0,0,0,2,0,1.2,1.2,0.8,1.9,7,53,51,0,0,0,0,0,0.17,0.11,0.28,0.17,0.28
8,Mackenzie Arnold,AUS,GK,West Ham,1994,30,12,12,1080,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
9,Brooke Aspin,ENG,DF,Bristol City,2005,19,11,10,830,9.2,2,0,2,2,0,0,2,0,0.6,0.6,0,0.6,0,11,0,0.22,0,0.22,0.22,0.22,0.06,0,0.07,0.06,0.07
10,Viviane Asseyi,FRA,"FW,MF",West Ham,1993,31,15,15,1281,14.2,6,1,7,3,3,3,4,0,6.4,4,0.4,4.4,25,41,92,0.42,0.07,0.49,0.21,0.28,0.45,0.03,0.48,0.28,0.31
11,Izzy Atkinson,IRL,"MF,FW",West Ham,2001,23,7,1,172,1.9,0,0,0,0,0,0,1,0,0.3,0.3,0,0.3,7,5,17,0,0,0,0,0,0.16,0,0.16,0.16,0.16
12,Rosella Ayane,MAR,"MF,FW",Tottenham,1996,28,8,0,154,1.7,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.8,6,4,19,0,0,0,0,0,0.18,0.28,0.46,0.18,0.46
13,Sophie Baggaley,ENG,GK,Brighton,1996,28,14,14,1260,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Ava Baker,ENG,"FW,MF",Leicester City,2006,18,6,0,66,0.7,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0,1,7,0,0,0,0,0,0.29,0.13,0.42,0.29,0.42
15,Molly Bartrip,ENG,DF,Tottenham,1996,28,15,15,1350,15,0,0,0,0,0,0,3,0,0,0,0.1,0.1,0,35,1,0,0,0,0,0,0,0,0,0,0
16,Jennifer Beattie,SCO,DF,Arsenal,1991,33,3,2,172,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,4,0,0,0,0,0,0,0.06,0,0.06,0.06,0.06
17,Agnes Beever-Jones,ENG,"FW,MF",Chelsea,2003,21,11,1,254,2.8,5,1,6,5,0,0,0,0,2,2,0.5,2.4,15,8,43,1.77,0.35,2.13,1.77,2.13,0.7,0.17,0.87,0.7,0.87
18,Hanna Bennison,SWE,MF,Everton,2002,22,15,11,955,10.6,1,1,2,1,0,0,1,0,0.3,0.3,0.9,1.2,19,38,21,0.09,0.09,0.19,0.09,0.19,0.03,0.09,0.12,0.03,0.12
19,Francesca Bentley,ENG,GK,Bristol City,2001,23,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Ann-Katrin Berger,GER,GK,Chelsea,1990,34,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Marika Bergman-Lundin,SWE,MF,West Ham,1999,25,3,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,Guro Bergsvand,NOR,DF,Brighton,1994,30,15,15,1350,15,1,0,1,1,0,0,2,0,0.5,0.5,0.2,0.7,5,39,4,0.07,0,0.07,0.07,0.07,0.04,0.01,0.05,0.04,0.05
23,Emma Bissell,ENG,"FW,DF",Everton,2001,23,15,5,532,5.9,0,0,0,0,0,0,0,0,0.6,0.6,0,0.6,12,13,38,0,0,0,0,0,0.1,0.01,0.1,0.1,0.1
24,Nathalie Björn,SWE,DF,Chelsea,1997,27,5,5,450,5,1,1,2,1,0,0,0,0,0.3,0.3,0.4,0.7,1,20,1,0.2,0.2,0.4,0.2,0.4,0.06,0.08,0.14,0.06,0.14
25,Nathalie Björn,SWE,DF,Everton,1997,27,8,6,559,6.2,1,0,1,0,1,1,1,0,1,0.2,0.2,0.4,1,19,7,0.16,0,0.16,0,0,0.16,0.03,0.2,0.03,0.07
26,Stina Blackstenius,SWE,"FW,MF",Arsenal,1996,28,13,3,360,4,4,0,4,4,0,0,0,0,5.7,5.7,0.6,6.4,13,11,35,1,0,1,1,1,1.43,0.16,1.59,1.43,1.59
27,Julie Blakstad,NOR,"DF,MF",Manchester City,2001,23,4,1,112,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,3,11,8,0,0,0,0,0,0.13,0.04,0.17,0.13,0.17
28,Laura Blindkilde,ENG,MF,Aston Villa,2003,21,9,8,631,7,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,5,19,36,0,0,0,0,0,0.02,0.06,0.08,0.02,0.08
29,Laura Blindkilde,ENG,FW,Manchester City,2003,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Hannah Blundell,ENG,DF,Manchester Utd,1994,30,15,15,1332,14.8,1,2,3,1,0,0,1,0,0.3,0.3,0.6,0.9,16,95,41,0.07,0.14,0.2,0.07,0.2,0.02,0.04,0.06,0.02,0.06
31,Missy Bo Kearns,ENG,"MF,FW",Liverpool,2001,23,14,7,641,7.1,0,1,1,0,0,0,1,0,1.3,1.3,1.5,2.7,3,17,44,0,0.14,0.14,0,0.14,0.18,0.21,0.38,0.18,0.38
32,Gemma Bonner,ENG,DF,Liverpool,1991,33,15,15,1263,14,1,0,1,1,0,0,5,0,0.7,0.7,0.2,0.9,2,34,1,0.07,0,0.07,0.07,0.07,0.05,0.01,0.06,0.05,0.06
33,CJ Bott,NZL,"DF,MF",Leicester City,1995,29,13,10,881,9.8,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,22,48,14,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03
34,Ellie Brazil,ENG,"MF,FW",Tottenham,1999,25,2,0,26,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,3,2,5,0,0,0,0,0,0.24,0,0.24,0.24,0.24
35,Pauline Bremer,GER,"FW,MF",Brighton,1996,28,14,13,1075,11.9,2,2,4,2,0,0,0,0,1.5,1.5,1.7,3.1,31,24,97,0.17,0.17,0.33,0.17,0.33,0.12,0.14,0.26,0.12,0.26
36,Millie Bright,ENG,DF,Chelsea,1993,31,6,6,527,5.9,1,0,1,1,0,0,0,0,1,1,0.5,1.5,1,30,1,0.17,0,0.17,0.17,0.17,0.16,0.08,0.25,0.16,0.25
37,Courtney Brosnan,IRL,GK,Everton,1995,29,13,13,1170,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Kadeisha Buchanan,CAN,DF,Chelsea,1995,29,4,2,179,2,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,4,1,0,0,0,0,0,0,0.03,0.03,0,0.03
39,Luana Bühler,SUI,DF,Tottenham,1996,28,9,9,693,7.7,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,10,1,0,0,0,0,0,0.01,0,0.01,0.01,0.01
40,Jasmine Bull,ENG,MF,Bristol City,2002,22,3,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
41,Hannah Cain,WAL,"FW,MF",Leicester City,1999,25,8,4,452,5,0,2,2,0,0,0,2,0,0.1,0.1,1.1,1.2,16,8,32,0,0.4,0.4,0,0.4,0.03,0.22,0.25,0.03,0.25
42,Megan Campbell,IRL,"MF,DF",Everton,1993,31,6,0,80,0.9,0,0,0,0,0,0,1,0,0,0,0.4,0.5,2,3,1,0,0,0,0,0,0.03,0.48,0.51,0.03,0.51
43,Jelena Čanković,SRB,"MF,FW",Chelsea,1995,29,8,2,280,3.1,0,2,2,0,0,0,1,0,0.6,0.6,1,1.6,4,36,13,0,0.64,0.64,0,0.64,0.2,0.32,0.52,0.2,0.52
44,Jorelyn Carabalí,COL,"DF,MF",Brighton,1997,27,7,5,461,5.1,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,4,9,1,0,0,0,0,0,0.05,0,0.05,0.05,0.05
45,Jess Carter,ENG,DF,Chelsea,1997,27,15,14,1274,14.2,0,1,1,0,0,0,0,0,0.5,0.5,0.9,1.4,10,81,4,0,0.07,0.07,0,0.07,0.03,0.06,0.1,0.03,0.1
46,Kerstin Casparij,NED,DF,Manchester City,2000,24,12,6,614,6.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,25,41,30,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03
47,Deyna Castellanos,VEN,"MF,FW",Manchester City,1999,25,5,1,142,1.6,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,5,13,11,0,0,0,0,0,0.19,0.17,0.36,0.19,0.36
48,Steph Catley,AUS,DF,Arsenal,1994,30,15,12,1110,12.3,1,2,3,1,0,0,0,0,0.7,0.7,2,2.7,22,85,61,0.08,0.16,0.24,0.08,0.24,0.06,0.16,0.22,0.06,0.22
49,Janice Cayman,BEL,"DF,MF",Leicester City,1988,36,14,13,1122,12.5,4,0,4,4,0,0,1,0,1.9,1.9,0.8,2.7,4,53,32,0.32,0,0.32,0.32,0.32,0.15,0.07,0.22,0.15,0.22
50,Niamh Charles,ENG,"DF,MF",Chelsea,1999,25,15,15,1316,14.6,1,5,6,1,0,0,3,1,1.5,1.5,2.9,4.4,54,103,116,0.07,0.34,0.41,0.07,0.41,0.1,0.2,0.3,0.1,0.3
51,Hawa Cissoko,FRA,DF,West Ham,1997,27,14,14,1195,13.3,1,0,1,1,0,0,7,1,0.5,0.5,0.2,0.7,6,28,6,0.08,0,0.08,0.08,0.08,0.04,0.02,0.05,0.04,0.05
52,Jenna Clark,SCO,DF,Liverpool,2001,23,14,11,1026,11.4,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,2,34,2,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04
53,Olivia Clark,WAL,GK,Bristol City,2001,23,7,6,584,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Grace Clinton,ENG,"MF,FW",Tottenham,2003,21,14,14,1152,12.8,4,2,6,4,0,0,2,0,1.6,1.6,2.5,4.1,45,63,85,0.31,0.16,0.47,0.31,0.47,0.12,0.2,0.32,0.12,0.32
55,Laia Codina,ESP,DF,Arsenal,2000,24,4,4,286,3.2,0,0,0,0,0,0,0,0,0,0,0,0,2,17,1,0,0,0,0,0,0.01,0,0.01,0.01,0.01
56,Megan Connolly,IRL,"DF,MF",Bristol City,1997,27,15,15,1300,14.4,1,1,2,1,0,0,3,0,0.2,0.2,0.6,0.8,1,24,5,0.07,0.07,0.14,0.07,0.14,0.02,0.04,0.05,0.02,0.05
57,Shannon Cooke,ENG,DF,West Ham,2000,24,13,8,743,8.3,0,0,0,0,0,0,2,0,0.2,0.2,0,0.2,3,26,1,0,0,0,0,0,0.02,0,0.02,0.02,0.02
58,Laura Coombs,ENG,MF,Manchester City,1991,33,10,7,606,6.7,2,1,3,2,0,0,0,0,2.4,2.4,0.4,2.8,6,22,39,0.3,0.15,0.45,0.3,0.45,0.36,0.06,0.42,0.36,0.42
59,Kyra Cooney-Cross,AUS,MF,Arsenal,2002,22,9,3,380,4.2,0,2,2,0,0,0,0,0,0.2,0.2,0.8,1.1,8,26,9,0,0.47,0.47,0,0.47,0.06,0.2,0.26,0.06,0.26
60,Rachel Corsie,SCO,"DF,MF",Aston Villa,1989,35,15,14,1222,13.6,0,2,2,0,0,0,3,0,1.4,1.4,0.9,2.2,2,64,7,0,0.15,0.15,0,0.15,0.1,0.06,0.17,0.1,0.17
61,Erin Cuthbert,SCO,MF,Chelsea,1998,26,13,12,988,11,3,0,3,3,0,0,1,0,2.3,2.3,1,3.3,11,76,25,0.27,0,0.27,0.27,0.27,0.21,0.09,0.3,0.21,0.3
62,Sabrina D'Angelo,CAN,GK,Arsenal,1993,31,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Eleanor Dale,ENG,FW,Everton,2002,22,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
64,Kenza Dali,FRA,"MF,FW",Aston Villa,1991,33,10,9,825,9.2,0,1,1,0,0,0,0,0,0.9,0.9,2.3,3.2,36,80,72,0,0.11,0.11,0,0.11,0.09,0.25,0.35,0.09,0.35
65,Rachel Daly,ENG,FW,Aston Villa,1991,33,13,13,1170,13,6,0,6,4,2,2,1,0,5.6,4.1,0.6,4.7,11,33,72,0.46,0,0.46,0.31,0.31,0.43,0.05,0.48,0.31,0.36
66,Yana Daniels,BEL,"FW,DF",Liverpool,1992,32,7,2,192,2.1,0,1,1,0,0,0,2,0,0.3,0.3,0.2,0.5,0,6,5,0,0.47,0.47,0,0.47,0.13,0.09,0.22,0.13,0.22
67,Lily Dent,ENG,"MF,FW",Brighton,2006,18,3,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
68,Anouk Denton,ENG,"DF,MF",West Ham,2003,21,9,7,611,6.8,0,0,0,0,0,0,1,0,0.1,0.1,0.5,0.6,10,20,17,0,0,0,0,0,0.01,0.08,0.09,0.01,0.09
69,Daphne van Domselaar,NED,GK,Aston Villa,2000,24,14,14,1260,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Denny Draper,ENG,MF,Leicester City,,,4,0,21,0.2,1,0,1,1,0,0,0,0,,,,,,,,4.29,0,4.29,4.29,4.29,,,,,
71,Toni Duggan,ENG,FW,Everton,1991,33,10,1,209,2.3,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,1,6,12,0,0,0,0,0,0.08,0.07,0.15,0.08,0.15
72,Mary Earps,ENG,GK,Manchester Utd,1993,31,15,15,1350,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Mia Enderby,ENG,"FW,MF",Liverpool,2005,19,8,2,211,2.3,0,1,1,0,0,0,2,0,0.3,0.3,0.1,0.4,5,2,19,0,0.43,0.43,0,0.43,0.11,0.05,0.16,0.11,0.16
74,Bethany England,ENG,FW,Tottenham,1994,30,7,6,433,4.8,0,0,0,0,0,0,0,0,1.7,1.7,0,1.7,3,8,22,0,0,0,0,0,0.35,0.01,0.35,0.35,0.35
75,Gemma Evans,WAL,DF,Manchester Utd,1996,28,8,1,186,2.1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,2,8,2,0,0,0,0,0,0,0.03,0.03,0,0.03
76,Lisa Evans,SCO,"FW,MF",Bristol City,1992,32,4,2,199,2.2,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,5,4,13,0,0,0,0,0,0.08,0.09,0.17,0.08,0.17
77,Lisa Evans,SCO,"MF,DF",West Ham,1992,32,9,8,718,8,1,1,2,1,0,0,1,0,0.2,0.2,1.4,1.6,23,26,60,0.13,0.13,0.25,0.13,0.25,0.03,0.17,0.2,0.03,0.2
78,Nicky Evrard,BEL,GK,Brighton,1995,29,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Niamh Fahey,IRL,DF,Liverpool,1987,37,6,4,344,3.8,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,2,6,2,0,0,0,0,0,0.03,0,0.03,0.03,0.03
80,Melisa Filis,ENG,MF,West Ham,2002,22,9,2,345,3.8,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,0,14,9,0,0,0,0,0,0.05,0.03,0.08,0.05,0.08
81,Megan Finnigan,ENG,DF,Everton,1998,26,14,14,1260,14,3,0,3,3,0,0,2,0,0.6,0.6,0.5,1,1,16,3,0.21,0,0.21,0.21,0.21,0.04,0.04,0.07,0.04,0.07
82,Mia Fishel,USA,FW,Chelsea,2001,23,10,4,341,3.8,1,1,2,1,0,0,0,0,1.4,1.4,1.6,2.9,8,7,41,0.26,0.26,0.53,0.26,0.53,0.36,0.41,0.77,0.36,0.77
83,Grace Fisk,ENG,DF,Liverpool,1998,26,15,15,1305,14.5,1,1,2,1,0,0,3,0,0.5,0.5,0.6,1.1,16,69,17,0.07,0.07,0.14,0.07,0.14,0.03,0.04,0.08,0.03,0.08
84,Keira Flannery,ENG,MF,West Ham,2005,19,2,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
85,Jessie Fleming,CAN,"MF,FW",Chelsea,1998,26,10,4,402,4.5,1,3,4,1,0,0,1,0,1.8,1.8,1.9,3.7,13,22,19,0.22,0.67,0.9,0.22,0.9,0.39,0.43,0.82,0.39,0.82
86,Natasha Flint,ENG,"FW,DF",Liverpool,1996,28,6,2,223,2.5,1,0,1,1,0,0,0,0,0.3,0.3,0,0.3,2,3,19,0.4,0,0.4,0.4,0.4,0.13,0.01,0.14,0.13,0.14
87,Caitlin Foord,AUS,FW,Arsenal,1994,30,15,13,1164,12.9,4,2,6,4,0,0,4,0,3.9,3.9,1.8,5.7,53,54,202,0.31,0.15,0.46,0.31,0.46,0.3,0.14,0.44,0.3,0.44
88,Mary Fowler,AUS,"FW,MF",Manchester City,2003,21,14,6,563,6.3,0,2,2,0,0,0,0,0,0.5,0.5,0.7,1.2,10,25,64,0,0.32,0.32,0,0.32,0.08,0.11,0.19,0.08,0.19
89,Emily Fox,USA,DF,Arsenal,1998,26,3,3,270,3,0,1,1,0,0,0,0,0,0,0,0.9,0.9,10,39,21,0,0.33,0.33,0,0.33,0.02,0.29,0.3,0.02,0.3
90,Rachel Furness,NIR,"MF,FW",Bristol City,1988,36,6,5,411,4.6,1,1,2,1,0,0,2,0,0.3,0.3,0.1,0.4,2,7,3,0.22,0.22,0.44,0.22,0.44,0.06,0.02,0.08,0.06,0.08
91,Aurora Galli,ITA,MF,Everton,1996,28,14,14,1135,12.6,3,1,4,2,1,1,2,0,1.4,0.7,0.5,1.2,9,35,19,0.24,0.08,0.32,0.16,0.24,0.11,0.04,0.15,0.05,0.09
92,Leah Galton,ENG,"FW,DF",Manchester Utd,1994,30,14,10,979,10.9,1,2,3,1,0,0,0,0,2.8,2.8,0.7,3.4,18,30,106,0.09,0.18,0.28,0.09,0.28,0.25,0.06,0.32,0.25,0.32
93,Lucía García,ESP,FW,Manchester Utd,1998,26,15,8,738,8.2,3,1,4,3,0,0,1,0,3.1,3.1,1.3,4.4,24,19,90,0.37,0.12,0.49,0.37,0.49,0.38,0.16,0.54,0.38,0.54
94,Gabrielle George,ENG,DF,Manchester Utd,1997,27,3,3,188,2.1,0,1,1,0,0,0,0,0,0.1,0.1,1,1,7,8,8,0,0.48,0.48,0,0.48,0.03,0.47,0.5,0.03,0.5
95,Lee Geum-min,KOR,"FW,MF",Brighton,1994,30,13,4,505,5.6,1,1,2,1,0,0,1,0,0.7,0.7,0.6,1.3,7,26,39,0.18,0.18,0.36,0.18,0.36,0.12,0.11,0.23,0.12,0.23
96,Geyse,BRA,FW,Manchester Utd,1998,26,12,10,804,8.9,1,2,3,1,0,0,1,0,2.3,2.3,1.4,3.8,54,17,64,0.11,0.22,0.34,0.11,0.34,0.26,0.16,0.42,0.26,0.42
97,Missy Goodwin,ENG,"FW,DF",Leicester City,2003,21,12,5,464,5.2,1,0,1,1,0,0,0,0,0.5,0.5,0.5,1,10,12,36,0.19,0,0.19,0.19,0.19,0.09,0.11,0.2,0.09,0.2
