Ref,Player,Nation,Pos,Squad,Born,Age,Matches_played,Starts,Minutes,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
196,Aniek Nouwen,NED,DF,Chelsea,1999,25,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,0,0,0,0,0,0,0,0,1.51,1.51,0,1.51
197,Sjoeke Nüsken,GER,"MF,DF",Chelsea,2001,23,14,8,720,8,4,2,6,4,0,0,1,0,5.8,5.8,0.8,6.6,9,46,47,0.5,0.25,0.75,0.5,0.75,0.72,0.1,0.82,0.72,0.82
198,Karoline Olesen,DEN,"MF,FW",Everton,2005,19,12,3,367,4.1,0,1,1,0,0,0,1,0,0,0,0.4,0.4,5,23,9,0,0.25,0.25,0,0.25,0,0.1,0.1,0,0.1
199,Leila Ouahabi,ESP,DF,Manchester City,1993,31,11,11,931,10.3,0,2,2,0,0,0,1,1,0.2,0.2,0.7,0.9,7,58,33,0,0.19,0.19,0,0.19,0.02,0.06,0.09,0.02,0.09
200,Shannon O’Brien,ENG,"FW,DF",Leicester City,2001,23,8,8,509,5.7,0,0,0,0,0,0,3,0,1.8,1.8,0.7,2.5,12,7,52,0,0,0,0,0,0.31,0.13,0.44,0.31,0.44
201,Mayumi Pacheco,ENG,DF,Aston Villa,1998,26,13,10,959,10.7,1,2,3,1,0,0,4,1,1,1,0.4,1.4,15,67,32,0.09,0.19,0.28,0.09,0.28,0.09,0.04,0.13,0.09,0.13
202,Aimee Palmer,ENG,MF,Leicester City,2000,24,7,4,308,3.4,1,0,1,1,0,0,1,0,0.2,0.2,0.2,0.4,0,15,9,0.29,0,0.29,0.29,0.29,0.05,0.05,0.1,0.05,0.1
203,Jessica Park,ENG,"MF,FW",Manchester City,2001,23,11,2,339,3.8,0,2,2,0,0,0,0,0,1.1,1.1,1.4,2.5,13,28,25,0,0.53,0.53,0,0.53,0.3,0.36,0.66,0.3,0.66
204,Lucy Parker,ENG,"MF,DF",Aston Villa,1998,26,6,4,385,4.3,1,0,1,1,0,0,2,0,0.7,0.7,0.6,1.3,7,16,5,0.23,0,0.23,0.23,0.23,0.16,0.14,0.3,0.16,0.3
205,Nikita Parris,ENG,FW,Manchester Utd,1994,30,14,11,837,9.3,8,1,9,8,0,0,1,0,3.8,3.8,1.6,5.5,15,22,63,0.86,0.11,0.97,0.86,0.97,0.41,0.18,0.59,0.41,0.59
206,Lucy Parry,ENG,"DF,MF",Liverpool,2004,20,6,0,61,0.7,0,0,0,0,0,0,0,0,0,0,0,0.1,6,7,3,0,0,0,0,0,0.05,0.05,0.1,0.05,0.1
207,Anna Patten,ENG,DF,Aston Villa,1999,25,15,15,1350,15,1,1,2,1,0,0,2,0,0.9,0.9,0.4,1.3,6,68,7,0.07,0.07,0.13,0.07,0.13,0.06,0.03,0.09,0.06,0.09
208,Poppy Pattinson,ENG,"DF,MF",Brighton,2000,24,10,9,721,8,0,1,1,0,0,0,0,0,0.2,0.2,1.2,1.4,16,33,24,0,0.12,0.12,0,0.12,0.03,0.15,0.17,0.03,0.17
209,Heather Payne,IRL,"DF,FW",Everton,2000,24,15,13,1170,13,0,0,0,0,0,0,3,0,0.2,0.2,1.7,2,43,26,53,0,0,0,0,0,0.02,0.13,0.15,0.02,0.15
210,Emilia Pelgander,SWE,MF,Leicester City,2004,20,3,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0
211,Victoria Pelova,NED,MF,Arsenal,1999,25,15,13,993,11,1,5,6,1,0,0,2,0,1.5,1.5,4.2,5.8,20,69,41,0.09,0.45,0.54,0.09,0.54,0.14,0.38,0.53,0.14,0.53
212,Ria Percival,NZL,"MF,FW",Tottenham,1989,35,6,2,174,1.9,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.4,1,7,4,0.52,0,0.52,0.52,0.52,0.16,0.03,0.19,0.16,0.19
213,Ève Périsset,FRA,"DF,MF",Chelsea,1994,30,10,8,696,7.7,0,1,1,0,0,0,0,0,0.1,0.1,1.8,1.9,10,65,11,0,0.13,0.13,0,0.13,0.02,0.23,0.25,0.02,0.25
214,Lena Petermann,GER,FW,Leicester City,1994,30,13,12,1011,11.2,4,3,7,4,0,0,2,0,3.3,3.3,0.7,4,10,25,67,0.36,0.27,0.62,0.36,0.62,0.29,0.07,0.36,0.29,0.36
215,Ramona Petzelberger,GER,"MF,DF",Tottenham,1992,32,7,1,198,2.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,7,12,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05
216,Martina Piemonte,ITA,FW,Everton,1997,27,12,6,586,6.5,2,1,3,2,0,0,1,0,3.1,3.1,0.4,3.5,3,17,40,0.31,0.15,0.46,0.31,0.46,0.48,0.06,0.54,0.48,0.54
217,Tatiana Pinto,POR,"MF,FW",Brighton,1994,30,15,5,540,6,1,0,1,1,0,0,2,0,1.2,1.2,0.3,1.6,8,28,24,0.17,0,0.17,0.17,0.17,0.21,0.05,0.26,0.21,0.26
218,Ella Powell,WAL,DF,Bristol City,2000,24,15,14,1122,12.5,1,0,1,1,0,0,3,0,0.6,0.6,0.2,0.7,23,33,18,0.08,0,0.08,0.08,0.08,0.05,0.01,0.06,0.05,0.06
219,Mayra Ramírez,COL,FW,Chelsea,1999,25,4,3,263,2.9,1,0,1,1,0,0,0,0,1.6,1.6,0.7,2.3,8,7,19,0.34,0,0.34,0.34,0.34,0.53,0.25,0.78,0.53,0.78
220,Emily Ramsey,ENG,GK,Everton,2000,24,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,Jutta Rantala,FIN,"MF,FW",Leicester City,1999,25,15,13,1131,12.6,5,4,9,5,0,0,1,0,2.7,2.7,2.4,5,28,59,76,0.4,0.32,0.72,0.4,0.72,0.21,0.19,0.4,0.21,0.4
222,Guro Reiten,NOR,"FW,MF",Chelsea,1994,30,9,8,649,7.2,3,1,4,1,2,2,0,0,4.1,2.5,2.5,5.1,12,24,88,0.42,0.14,0.55,0.14,0.28,0.57,0.35,0.92,0.35,0.71
223,Jayde Riviere,CAN,DF,Manchester Utd,2001,23,11,9,863,9.6,0,1,1,0,0,0,3,0,0.1,0.1,1.8,1.9,14,41,30,0,0.1,0.1,0,0.1,0.01,0.19,0.2,0.01,0.2
224,Katie Robinson,ENG,"MF,FW",Brighton,2002,22,15,13,1121,12.5,2,2,4,2,0,0,0,0,0.6,0.6,1.5,2.2,37,24,75,0.16,0.16,0.32,0.16,0.32,0.05,0.12,0.17,0.05,0.17
225,Amy Rodgers,SCO,MF,Bristol City,2000,24,15,15,1302,14.5,1,0,1,1,0,0,2,0,0.5,0.5,0.5,1,7,43,9,0.07,0,0.07,0.07,0.07,0.04,0.03,0.07,0.04,0.07
226,Sophie Román Haug,NOR,FW,Liverpool,1999,25,13,12,1008,11.2,4,2,6,4,0,0,0,0,4.5,4.5,1.9,6.4,5,29,63,0.36,0.18,0.54,0.36,0.54,0.4,0.17,0.57,0.4,0.57
227,Jill Roord,NED,MF,Manchester City,1997,27,11,11,912,10.1,6,2,8,6,0,0,2,0,4.6,4.6,1,5.6,12,65,53,0.59,0.2,0.79,0.59,0.79,0.45,0.1,0.55,0.45,0.55
228,Deanne Rose,CAN,"FW,MF",Leicester City,1999,25,10,1,303,3.4,0,1,1,0,0,0,0,0,0.8,0.8,0.6,1.4,15,10,38,0,0.3,0.3,0,0.3,0.23,0.18,0.4,0.23,0.4
229,Charlize Rule,AUS,"MF,DF",Brighton,2003,21,9,3,403,4.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,10,16,10,0,0,0,0,0,0.02,0.03,0.04,0.02,0.04
230,Alessia Russo,ENG,FW,Arsenal,1999,25,15,14,1180,13.1,6,3,9,5,1,1,2,0,6.8,6,2.3,8.3,23,40,99,0.46,0.23,0.69,0.38,0.61,0.52,0.18,0.69,0.46,0.63
231,Johanna Rytting Kaneryd,SWE,"FW,MF",Chelsea,1997,27,12,9,783,8.7,3,4,7,3,0,0,0,0,2.2,2.2,2.8,5,38,31,114,0.34,0.46,0.8,0.34,0.8,0.25,0.33,0.58,0.25,0.58
232,Ebony Salmon,ENG,"FW,MF",Aston Villa,2001,23,12,1,296,3.3,1,0,1,1,0,0,0,0,0.6,0.6,0.2,0.8,6,6,34,0.3,0,0.3,0.3,0.3,0.18,0.06,0.25,0.18,0.25
233,Shanice van de Sanden,NED,FW,Liverpool,1992,32,9,5,478,5.3,1,0,1,1,0,0,1,0,1.2,1.2,0.1,1.4,7,10,55,0.19,0,0.19,0.19,0.19,0.23,0.02,0.25,0.23,0.25
234,Veatriki Sarri,GRE,"FW,MF",Brighton,1998,26,13,6,543,6,0,1,1,0,0,0,1,0,0.4,0.4,0.4,0.9,13,10,38,0,0.17,0.17,0,0.17,0.07,0.07,0.14,0.07,0.14
235,Khadija Shaw,JAM,FW,Manchester City,1997,27,14,13,1068,11.9,15,3,18,15,0,1,0,0,9.5,8.7,1.8,10.5,25,35,80,1.26,0.25,1.52,1.26,1.52,0.8,0.15,0.96,0.73,0.89
236,Risa Shimizu,JPN,"DF,MF",West Ham,1996,28,15,15,1350,15,1,0,1,1,0,0,2,0,0.4,0.4,0.5,0.9,9,74,22,0.07,0,0.07,0.07,0.07,0.02,0.04,0.06,0.02,0.06
237,Wang Shuang,CHN,MF,Tottenham,1995,29,3,0,54,0.6,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,3,3,3,0,0,0,0,0,0.38,0.17,0.55,0.38,0.55
238,Remy Siemsen,AUS,"FW,MF",Leicester City,1999,25,4,0,77,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0
239,Jessica Simpson,ENG,DF,Bristol City,2005,19,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,Fearne Slocombe,ENG,DF,Bristol City,2006,18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
241,Kirsty Smith,SCO,"DF,MF",West Ham,1994,30,15,15,1327,14.7,1,0,1,1,0,0,2,0,0.8,0.8,1.2,2.1,24,50,46,0.07,0,0.07,0.07,0.07,0.05,0.08,0.14,0.05,0.14
242,Emma Snerle,DEN,"MF,FW",West Ham,2001,23,5,1,200,2.2,0,1,1,0,0,0,1,0,0,0,0.2,0.3,2,6,7,0,0.45,0.45,0,0.45,0.02,0.11,0.13,0.02,0.13
243,Katja Snoeijs,NED,"FW,MF",Everton,1996,28,12,10,890,9.9,1,0,1,1,0,0,1,0,2.2,2.2,0.8,3,14,19,41,0.1,0,0.1,0.1,0.1,0.23,0.08,0.3,0.23,0.3
244,Drew Spence,JAM,"MF,FW",Tottenham,1992,32,6,4,339,3.8,0,1,1,0,0,0,2,0,0.4,0.4,1.1,1.6,7,22,22,0,0.27,0.27,0,0.27,0.12,0.3,0.41,0.12,0.41
245,Rebecca Spencer,JAM,GK,Tottenham,1991,33,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,Lucy Staniforth,ENG,MF,Aston Villa,1992,32,11,8,738,8.2,0,1,1,0,0,0,0,0,0.2,0.2,0.6,0.7,4,46,20,0,0.12,0.12,0,0.12,0.02,0.07,0.09,0.02,0.09
247,Jessie Stapleton,IRL,DF,West Ham,2005,19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,Elise Stenevik,NOR,DF,Everton,1999,25,6,6,539,6,0,0,0,0,0,0,1,0,0.3,0.3,0.5,0.8,4,21,3,0,0,0,0,0,0.06,0.08,0.13,0.06,0.13
249,Demi Stokes,ENG,DF,Manchester City,1991,33,2,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
250,Sarah Stratigakis,CAN,MF,Bristol City,1999,25,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
251,Abbey-Leigh Stringer,ENG,MF,West Ham,1995,29,8,7,625,6.9,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,0,17,5,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03
252,Sille Struck,,DF,Bristol City,1998,26,4,4,331,3.7,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,8,0,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03
253,Eveliina Summanen,FIN,MF,Tottenham,1998,26,13,13,1141,12.7,1,3,4,1,0,0,2,0,0.5,0.5,0.8,1.3,3,68,11,0.08,0.24,0.32,0.08,0.32,0.04,0.06,0.1,0.04,0.1
254,Emily Syme,ENG,MF,Bristol City,2000,24,15,4,470,5.2,0,1,1,0,0,0,0,0,0.3,0.3,0.6,0.9,8,12,17,0,0.19,0.19,0,0.19,0.06,0.11,0.17,0.06,0.17
255,Maisie Symonds,ENG,MF,Brighton,2003,21,13,6,544,6,0,3,3,0,0,0,1,0,0.3,0.3,1.6,1.8,4,27,13,0,0.5,0.5,0,0.5,0.05,0.26,0.3,0.05,0.3
256,Nicoline Sørensen,DEN,"FW,MF",Everton,1997,27,9,8,646,7.2,0,0,0,0,0,0,0,0,1,1,0.2,1.2,21,19,51,0,0,0,0,0,0.14,0.03,0.17,0.14,0.17
257,Saori Takarada,JPN,MF,Leicester City,1999,25,5,5,447,5,1,0,1,1,0,0,1,0,0.8,0.8,0,0.8,1,36,5,0.2,0,0.2,0.2,0.2,0.15,0.01,0.16,0.15,0.16
258,Miri Taylor,ENG,"FW,MF",Liverpool,2000,24,3,1,82,0.9,1,0,1,1,0,0,0,0,0.3,0.3,0,0.3,0,1,8,1.1,0,1.1,1.1,1.1,0.32,0,0.32,0.32,0.32
259,Miri Taylor,ENG,MF,Aston Villa,2000,24,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
260,Tianna Teisar,WAL,FW,Bristol City,2005,19,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
261,Elisabeth Terland,NOR,FW,Brighton,2001,23,15,14,1166,13,11,1,12,11,0,0,2,0,5.9,5.9,0.5,6.4,19,28,55,0.85,0.08,0.93,0.85,0.93,0.45,0.04,0.49,0.45,0.49
262,Amalie Thestrup,DEN,"FW,MF",Bristol City,1995,29,15,15,1296,14.4,9,0,9,7,2,2,1,0,5.5,3.9,0.7,4.6,10,14,41,0.62,0,0.62,0.49,0.49,0.38,0.05,0.43,0.27,0.32
263,Julie Thibaud,FRA,DF,Leicester City,1998,26,14,12,1049,11.7,0,0,0,0,0,0,2,0,0,0,0.4,0.4,9,50,5,0,0,0,0,0,0,0.03,0.03,0,0.03
264,Martha Thomas,SCO,FW,Tottenham,1996,28,15,15,1231,13.7,7,2,9,7,0,0,3,0,5.5,5.5,1,6.5,23,22,87,0.51,0.15,0.66,0.51,0.66,0.4,0.08,0.48,0.4,0.48
265,Maria Thorisdottir,NOR,DF,Brighton,1993,31,15,15,1339,14.9,0,2,2,0,0,0,2,0,0,0,0.8,0.8,4,28,0,0,0.13,0.13,0,0.13,0,0.05,0.05,0,0.05
266,Samantha Tierney,ENG,MF,Leicester City,1998,26,15,15,1350,15,2,3,5,2,0,0,2,0,2.4,2.4,1.7,4.1,10,64,48,0.13,0.2,0.33,0.13,0.33,0.16,0.11,0.27,0.16,0.27
267,Ella Toone,ENG,MF,Manchester Utd,1999,25,15,14,1205,13.4,3,4,7,3,0,0,1,0,2.4,2.4,2.2,4.6,24,101,87,0.22,0.3,0.52,0.22,0.52,0.18,0.16,0.34,0.18,0.34
268,Amy Turner,ENG,DF,Tottenham,1991,33,8,6,622,6.9,1,0,1,1,0,0,0,0,0.3,0.3,0,0.3,1,10,2,0.14,0,0.14,0.14,0.14,0.04,0,0.04,0.04,0.04
269,Danielle Turner,ENG,DF,Aston Villa,1991,33,12,9,845,9.4,1,0,1,1,0,0,0,0,0.3,0.3,0.2,0.5,4,37,4,0.11,0,0.11,0.11,0.11,0.03,0.02,0.05,0.03,0.05
270,Millie Turner,ENG,DF,Manchester Utd,1996,28,15,15,1301,14.5,1,1,2,1,0,0,1,0,1.8,1.8,0.2,2,2,45,4,0.07,0.07,0.14,0.07,0.14,0.12,0.02,0.14,0.12,0.14
271,Amber Tysiak,BEL,DF,West Ham,2000,24,10,9,791,8.8,1,0,1,1,0,0,1,0,0.6,0.6,0.2,0.8,0,12,0,0.11,0,0.11,0.11,0.11,0.07,0.02,0.09,0.07,0.09
272,Riko Ueki,JPN,FW,West Ham,1999,25,15,15,1240,13.8,3,0,3,3,0,0,3,0,3.8,3.8,1,4.8,29,30,103,0.22,0,0.22,0.22,0.22,0.27,0.07,0.35,0.27,0.35
273,Justine Vanhaevermaet,BEL,"DF,MF",Everton,1992,32,12,10,904,10,0,0,0,0,0,1,3,0,2.3,1.5,0.4,1.9,4,37,5,0,0,0,0,0,0.23,0.04,0.27,0.15,0.19
274,Katrine Veje,DEN,DF,Everton,1991,33,8,8,683,7.6,0,1,1,0,0,0,0,0,0,0,0.6,0.6,9,33,10,0,0.13,0.13,0,0.13,0,0.07,0.08,0,0.08
275,Matilda Vinberg,SWE,"MF,FW",Tottenham,2003,21,4,0,42,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,2,1,7,0,0,0,0,0,0,0.27,0.27,0,0.27
276,Barbora Votíková,CZE,GK,Tottenham,1996,28,5,5,450,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,Megan Walsh,IRL,GK,West Ham,1994,30,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,Lia Wälti,SUI,MF,Arsenal,1993,31,14,12,1077,12,0,3,3,0,0,0,2,0,0.4,0.4,0.7,1.1,7,92,17,0,0.25,0.25,0,0.25,0.03,0.06,0.09,0.03,0.09
279,Mari Ward,ENG,"MF,DF",Bristol City,2006,18,14,1,302,3.4,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,4,13,20,0,0,0,0,0,0.07,0.03,0.1,0.07,0.1
280,Clare Wheeler,AUS,"DF,MF",Everton,1998,26,15,12,1164,12.9,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.3,11,37,22,0,0,0,0,0,0,0.02,0.03,0,0.03
281,Aileen Whelan,ENG,"FW,MF",Leicester City,1991,33,14,9,850,9.4,1,1,2,1,0,0,1,0,1.3,1.3,0.7,2,8,21,50,0.11,0.11,0.21,0.11,0.21,0.13,0.08,0.21,0.13,0.21
282,Rachel Williams,ENG,"FW,MF",Manchester Utd,1988,36,15,1,368,4.1,5,0,5,5,0,0,0,0,3.6,3.6,0.6,4.3,2,4,15,1.22,0,1.22,1.22,1.22,0.89,0.15,1.04,0.89,1.04
283,Leah Williamson,ENG,DF,Arsenal,1997,27,2,1,63,0.7,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0
284,Jessica Wooley,ENG,MF,Bristol City,2001,23,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
285,Lotte Wubben-Moy,ENG,DF,Arsenal,1999,25,15,14,1242,13.8,0,0,0,0,0,0,4,0,1.1,1.1,0.2,1.3,8,101,5,0,0,0,0,0,0.08,0.01,0.09,0.08,0.09
286,Shae Yanez,USA,GK,Bristol City,1997,27,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,Shelina Zadorsky,CAN,DF,West Ham,1992,32,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,6,0,0,0,0,0,0,0.02,0.03,0.04,0.02,0.04
288,Shelina Zadorsky,CAN,DF,Tottenham,1992,32,2,1,118,1.3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
289,Katie Zelem,ENG,MF,Manchester Utd,1996,28,15,15,1350,15,1,3,4,0,1,1,3,0,1.4,0.6,4.5,5.1,2,97,19,0.07,0.2,0.27,0,0.2,0.09,0.3,0.39,0.04,0.34
290,Julia Zigiotti Olme,SWE,MF,Brighton,1997,27,13,11,1012,11.2,0,0,0,0,0,0,1,0,0.5,0.5,0.2,0.8,5,58,20,0,0,0,0,0,0.04,0.02,0.07,0.04,0.07
291,Manuela Zinsberger,AUT,GK,Arsenal,1995,29,13,13,1170,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Jessica Ziu,IRL,"MF,FW",West Ham,2002,22,9,6,454,5,0,1,1,0,0,0,1,0,0.6,0.6,1.3,1.9,4,20,24,0,0.2,0.2,0,0.2,0.12,0.25,0.38,0.12,0.38
